Date,Lebron
2015-07-01,18390
2015-07-02,17245
2015-07-03,15000
2015-07-04,14276
2015-07-05,13627
2015-07-06,14626
2015-07-07,15653
2015-07-08,14140
2015-07-09,17249
2015-07-10,14495
2015-07-11,11838
2015-07-12,10896
2015-07-13,11558
2015-07-14,10566
2015-07-15,16569
2015-07-16,20109
2015-07-17,12700
2015-07-18,11846
2015-07-19,11885
2015-07-20,11777
2015-07-21,11998
2015-07-22,12669
2015-07-23,14879
2015-07-24,12358
2015-07-25,10348
2015-07-26,10046
2015-07-27,9995
2015-07-28,9190
2015-07-29,10114
2015-07-30,9104
2015-07-31,9471
2015-08-01,10241
2015-08-02,11371
2015-08-03,8710
2015-08-04,9283
2015-08-05,8793
2015-08-06,14233
2015-08-07,15776
2015-08-08,8243
2015-08-09,8736
2015-08-10,9450
2015-08-11,9598
2015-08-12,9306
2015-08-13,9928
2015-08-14,12240
2015-08-15,12413
2015-08-16,9942
2015-08-17,8923
2015-08-18,8895
2015-08-19,9347
2015-08-20,10283
2015-08-21,9410
2015-08-22,8409
2015-08-23,9603
2015-08-24,8434
2015-08-25,8013
2015-08-26,7802
2015-08-27,8442
2015-08-28,8428
2015-08-29,7251
2015-08-30,7917
2015-08-31,7342
2015-09-01,6950
2015-09-02,7331
2015-09-03,9136
2015-09-04,7642
2015-09-05,7876
2015-09-06,8407
2015-09-07,7256
2015-09-08,9747
2015-09-09,7761
2015-09-10,7639
2015-09-11,7402
2015-09-12,6777
2015-09-13,7855
2015-09-14,8700
2015-09-15,7777
2015-09-16,6960
2015-09-17,7848
2015-09-18,7559
2015-09-19,6309
2015-09-20,6715
2015-09-21,7021
2015-09-22,6892
2015-09-23,105764
2015-09-24,8555
2015-09-25,8852
2015-09-26,7568
2015-09-27,8301
2015-09-28,8485
2015-09-29,9199
2015-09-30,8481
2015-10-01,10447
2015-10-02,9259
2015-10-03,7826
2015-10-04,8058
2015-10-05,8277
2015-10-06,8617
2015-10-07,9051
2015-10-08,9323
2015-10-09,8165
2015-10-10,7095
2015-10-11,7862
2015-10-12,7554
2015-10-13,8476
2015-10-14,9074
2015-10-15,8713
2015-10-16,9908
2015-10-17,7900
2015-10-18,8097
2015-10-19,8311
2015-10-20,8358
2015-10-21,9302
2015-10-22,10638
2015-10-23,9432
2015-10-24,14408
2015-10-25,30806
2015-10-26,20321
2015-10-27,13925
2015-10-28,18433
2015-10-29,15919
2015-10-30,14447
2015-10-31,13294
2015-11-01,11309
2015-11-02,11188
2015-11-03,23002
2015-11-04,14015
2015-11-05,18478
2015-11-06,12243
2015-11-07,12959
2015-11-08,12234
2015-11-09,11473
2015-11-10,10872
2015-11-11,14194
2015-11-12,13407
2015-11-13,13190
2015-11-14,16017
2015-11-15,15548
2015-11-16,11172
2015-11-17,10935
2015-11-18,14621
2015-11-19,11421
2015-11-20,14348
2015-11-21,13352
2015-11-22,13941
2015-11-23,11637
2015-11-24,13844
2015-11-25,13130
2015-11-26,14092
2015-11-27,10565
2015-11-28,15292
2015-11-29,13574
2015-11-30,28525
2015-12-01,21280
2015-12-02,21607
2015-12-03,18046
2015-12-04,15306
2015-12-05,18927
2015-12-06,18246
2015-12-07,16264
2015-12-08,22109
2015-12-09,18320
2015-12-10,14222
2015-12-11,13158
2015-12-12,14949
2015-12-13,13833
2015-12-14,11821
2015-12-15,11102
2015-12-16,14787
2015-12-17,13478
2015-12-18,25767
2015-12-19,15959
2015-12-20,13016
2015-12-21,11346
2015-12-22,12185
2015-12-23,11653
2015-12-24,17545
2015-12-25,28653
2015-12-26,33568
2015-12-27,16174
2015-12-28,13037
2015-12-29,18278
2015-12-30,24462
2015-12-31,15875
2016-01-01,12880
2016-01-02,15529
2016-01-03,15545
2016-01-04,11629
2016-01-05,12847
2016-01-06,13137
2016-01-07,14826
2016-01-08,13664
2016-01-09,15534
2016-01-10,11983
2016-01-11,12849
2016-01-12,11979
2016-01-13,13160
2016-01-14,12768
2016-01-15,17395
2016-01-16,15207
2016-01-17,12802
2016-01-18,12493
2016-01-19,20935
2016-01-20,13659
2016-01-21,14421
2016-01-22,21253
2016-01-23,19922
2016-01-24,22205
2016-01-25,15050
2016-01-26,17320
2016-01-27,15165
2016-01-28,15614
2016-01-29,13976
2016-01-30,17718
2016-01-31,19796
2016-02-01,13919
2016-02-02,15374
2016-02-03,13136
2016-02-04,17842
2016-02-05,12976
2016-02-06,12956
2016-02-07,14659
2016-02-08,13382
2016-02-09,13678
2016-02-10,17296
2016-02-11,27318
2016-02-12,16671
2016-02-13,15032
2016-02-14,16555
2016-02-15,36324
2016-02-16,15869
2016-02-17,13511
2016-02-18,13797
2016-02-19,15310
2016-02-20,11727
2016-02-21,16729
2016-02-22,18154
2016-02-23,14139
2016-02-24,12221
2016-02-25,13538
2016-02-26,13615
2016-02-27,14099
2016-02-28,18733
2016-02-29,13758
2016-03-01,14052
2016-03-02,12780
2016-03-03,12126
2016-03-04,13322
2016-03-05,13963
2016-03-06,16279
2016-03-07,11711
2016-03-08,13955
2016-03-09,10728
2016-03-10,13910
2016-03-11,20296
2016-03-12,11176
2016-03-13,15009
2016-03-14,14002
2016-03-15,14893
2016-03-16,11614
2016-03-17,11455
2016-03-18,9923
2016-03-19,10367
2016-03-20,13485
2016-03-21,10289
2016-03-22,12985
2016-03-23,13076
2016-03-24,15943
2016-03-25,14341
2016-03-26,11302
2016-03-27,12966
2016-03-28,12621
2016-03-29,12387
2016-03-30,12836
2016-03-31,12385
2016-04-01,15806
2016-04-02,18951
2016-04-03,15535
2016-04-04,14229
2016-04-05,14324
2016-04-06,13842
2016-04-07,11663
2016-04-08,14409
2016-04-09,13412
2016-04-10,16900
2016-04-11,16476
2016-04-12,18619
2016-04-13,23570
2016-04-14,56649
2016-04-15,25772
2016-04-16,20309
2016-04-17,29048
2016-04-18,21942
2016-04-19,17286
2016-04-20,15766
2016-04-21,22093
2016-04-22,15062
2016-04-23,16918
2016-04-24,14389
2016-04-25,22704
2016-04-26,14785
2016-04-27,12789
2016-04-28,13764
2016-04-29,10669
2016-04-30,11684
2016-05-01,14087
2016-05-02,16993
2016-05-03,26080
2016-05-04,17392
2016-05-05,22325
2016-05-06,14731
2016-05-07,20399
2016-05-08,23493
2016-05-09,22126
2016-05-10,30343
2016-05-11,25910
2016-05-12,27566
2016-05-13,22746
2016-05-14,24270
2016-05-15,25873
2016-05-16,22557
2016-05-17,29340
2016-05-18,64640
2016-05-19,40217
2016-05-20,64823
2016-05-21,24400
2016-05-22,37260
2016-05-23,22438
2016-05-24,35952
2016-05-25,23958
2016-05-26,40370
2016-05-27,26629
2016-05-28,106074
2016-05-29,42960
2016-05-30,27160
2016-05-31,70582
2016-06-01,41067
2016-06-02,56087
2016-06-03,107811
2016-06-04,27211
2016-06-05,29222
2016-06-06,99396
2016-06-07,32077
2016-06-08,30499
2016-06-09,87637
2016-06-10,27749
2016-06-11,101267
2016-06-12,34506
2016-06-13,34200
2016-06-14,109040
2016-06-15,30274
2016-06-16,29901
2016-06-17,188195
2016-06-18,59556
2016-06-19,72448
2016-06-20,1129366
2016-06-21,224850
2016-06-22,128620
2016-06-23,96121
2016-06-24,68798
2016-06-25,43856
2016-06-26,39685
2016-06-27,34334
2016-06-28,31492
2016-06-29,35657
2016-06-30,28429
2016-07-01,30016
2016-07-02,25475
2016-07-03,25062
2016-07-04,48978
2016-07-05,45710
2016-07-06,32945
2016-07-07,37920
2016-07-08,26944
2016-07-09,25497
2016-07-10,21804
2016-07-11,24315
2016-07-12,21576
2016-07-13,20190
2016-07-14,28183
2016-07-15,17605
2016-07-16,16026
2016-07-17,16677
2016-07-18,16768
2016-07-19,15415
2016-07-20,13947
2016-07-21,14466
2016-07-22,13958
2016-07-23,15877
2016-07-24,14949
2016-07-25,14652
2016-07-26,13650
2016-07-27,14005
2016-07-28,13248
2016-07-29,12722
2016-07-30,12963
2016-07-31,12614
2016-08-01,12471
2016-08-02,15860
2016-08-03,14911
2016-08-04,12723
2016-08-05,12276
2016-08-06,15896
2016-08-07,14541
2016-08-08,15504
2016-08-09,13972
2016-08-10,15686
2016-08-11,17516
2016-08-12,20682
2016-08-13,13402
2016-08-14,12449
2016-08-15,11799
2016-08-16,9884
2016-08-17,12992
2016-08-18,16810
2016-08-19,14164
2016-08-20,11691
2016-08-21,21603
2016-08-22,15364
2016-08-23,12124
2016-08-24,11040
2016-08-25,10403
2016-08-26,9851
2016-08-27,9794
2016-08-28,9760
2016-08-29,9589
2016-08-30,9413
2016-08-31,9480
2016-09-01,9867
2016-09-02,8794
2016-09-03,9095
2016-09-04,9430
2016-09-05,9904
2016-09-06,8920
2016-09-07,12768
2016-09-08,11486
2016-09-09,11716
2016-09-10,11326
2016-09-11,9727
2016-09-12,9084
2016-09-13,9174
2016-09-14,9664
2016-09-15,9420
2016-09-16,9253
2016-09-17,8905
2016-09-18,9776
2016-09-19,9513
2016-09-20,9132
2016-09-21,8735
2016-09-22,9125
2016-09-23,9502
2016-09-24,10588
2016-09-25,9588
2016-09-26,10832
2016-09-27,11247
2016-09-28,14152
2016-09-29,12195
2016-09-30,10084
2016-10-01,9643
2016-10-02,9584
2016-10-03,13279
2016-10-04,10783
2016-10-05,10659
2016-10-06,12670
2016-10-07,13419
2016-10-08,9878
2016-10-09,9726
2016-10-10,8890
2016-10-11,9522
2016-10-12,9896
2016-10-13,10778
2016-10-14,11137
2016-10-15,11394
2016-10-16,10850
2016-10-17,10498
2016-10-18,12016
2016-10-19,12971
2016-10-20,11647
2016-10-21,10858
2016-10-22,10467
2016-10-23,11358
2016-10-24,11894
2016-10-25,20375
2016-10-26,35512
2016-10-27,18374
2016-10-28,17404
2016-10-29,17231
2016-10-30,15284
2016-10-31,15189
2016-11-01,14513
2016-11-02,22735
2016-11-03,31620
2016-11-04,26618
2016-11-05,18925
2016-11-06,32437
2016-11-07,18943
2016-11-08,16141
2016-11-09,12080
2016-11-10,13154
2016-11-11,14017
2016-11-12,19809
2016-11-13,13482
2016-11-14,12700
2016-11-15,14006
2016-11-16,19198
2016-11-17,16712
2016-11-18,12951
2016-11-19,12704
2016-11-20,12090
2016-11-21,11309
2016-11-22,11675
2016-11-23,11717
2016-11-24,14677
2016-11-25,11251
2016-11-26,18867
2016-11-27,17211
2016-11-28,13938
2016-11-29,13568
2016-11-30,13228
2016-12-01,14324
2016-12-02,16461
2016-12-03,19898
2016-12-04,11246
2016-12-05,11682
2016-12-06,15273
2016-12-07,13512
2016-12-08,19233
2016-12-09,12242
2016-12-10,21808
2016-12-11,21910
2016-12-12,15461
2016-12-13,15094
2016-12-14,15584
2016-12-15,13661
2016-12-16,12059
2016-12-17,11875
2016-12-18,13148
2016-12-19,14163
2016-12-20,12148
2016-12-21,31752
2016-12-22,19656
2016-12-23,16977
2016-12-24,15210
2016-12-25,43259
2016-12-26,25718
2016-12-27,20835
2016-12-28,19266
2016-12-29,22462
2016-12-30,44191
2016-12-31,23240
2017-01-01,17399
2017-01-02,15908
2017-01-03,18030
2017-01-04,15909
2017-01-05,22599
2017-01-06,17553
2017-01-07,18318
2017-01-08,15319
2017-01-09,15671
2017-01-10,14256
2017-01-11,14706
2017-01-12,16084
2017-01-13,14900
2017-01-14,15661
2017-01-15,13264
2017-01-16,13916
2017-01-17,28965
2017-01-18,18367
2017-01-19,17426
2017-01-20,19949
2017-01-21,14936
2017-01-22,24227
2017-01-23,14589
2017-01-24,16955
2017-01-25,15805
2017-01-26,17597
2017-01-27,17584
2017-01-28,14562
2017-01-29,18267
2017-01-30,16046
2017-01-31,22712
2017-02-01,19771
2017-02-02,19809
2017-02-03,15513
2017-02-04,14287
2017-02-05,25653
2017-02-06,20116
2017-02-07,28525
2017-02-08,19667
2017-02-09,19809
2017-02-10,18753
2017-02-11,14209
2017-02-12,20948
2017-02-13,16523
2017-02-14,15352
2017-02-15,19937
2017-02-16,24320
2017-02-17,17752
2017-02-18,18568
2017-02-19,22584
2017-02-20,41971
2017-02-21,18672
2017-02-22,16520
2017-02-23,18375
2017-02-24,21748
2017-02-25,16795
2017-02-26,19076
2017-02-27,15366
2017-02-28,19050
2017-03-01,16962
2017-03-02,20436
2017-03-03,15700
2017-03-04,18131
2017-03-05,14755
2017-03-06,16691
2017-03-07,22583
2017-03-08,31836
2017-03-09,17131
2017-03-10,16143
2017-03-11,13937
2017-03-12,16519
2017-03-13,18204
2017-03-14,16286
2017-03-15,17556
2017-03-16,16476
2017-03-17,15866
2017-03-18,14527
2017-03-19,16298
2017-03-20,17230
2017-03-21,16937
2017-03-22,23123
2017-03-23,18384
2017-03-24,15404
2017-03-25,17875
2017-03-26,18631
2017-03-27,15902
2017-03-28,23482
2017-03-29,15796
2017-03-30,17744
2017-03-31,35497
2017-04-01,17812
2017-04-02,16315
2017-04-03,17372
2017-04-04,16743
2017-04-05,18796
2017-04-06,25073
2017-04-07,15895
2017-04-08,13698
2017-04-09,14334
2017-04-10,16593
2017-04-11,15954
2017-04-12,14805
2017-04-13,20732
2017-04-14,18554
2017-04-15,30567
2017-04-16,26770
2017-04-17,23233
2017-04-18,27008
2017-04-19,19270
2017-04-20,20322
2017-04-21,47730
2017-04-22,22476
2017-04-23,35361
2017-04-24,28634
2017-04-25,23977
2017-04-26,22537
2017-04-27,20293
2017-04-28,17715
2017-04-29,15930
2017-04-30,16373
2017-05-01,21917
2017-05-02,37288
2017-05-03,26682
2017-05-04,51204
2017-05-05,35955
2017-05-06,46347
2017-05-07,50666
2017-05-08,45677
2017-05-09,35880
2017-05-10,26789
2017-05-11,29360
2017-05-12,32110
2017-05-13,24202
2017-05-14,23708
2017-05-15,22602
2017-05-16,33139
2017-05-17,35133
2017-05-18,82687
2017-05-19,39829
2017-05-20,72809
2017-05-21,44914
2017-05-22,51735
2017-05-23,38988
2017-05-24,53518
2017-05-25,34593
2017-05-26,146515
2017-05-27,51587
2017-05-28,38714
2017-05-29,40178
2017-05-30,36688
2017-05-31,48069
2017-06-01,76221
2017-06-02,154308
2017-06-03,38338
2017-06-04,36404
2017-06-05,154061
2017-06-06,46449
2017-06-07,42120
2017-06-08,168433
2017-06-09,69505
2017-06-10,168023
2017-06-11,43818
2017-06-12,43664
2017-06-13,330801
2017-06-14,82886
2017-06-15,63572
2017-06-16,45710
2017-06-17,31851
2017-06-18,30634
2017-06-19,29539
2017-06-20,29289
2017-06-21,27347
2017-06-22,22671
2017-06-23,28384
2017-06-24,18512
2017-06-25,17159
2017-06-26,19696
